timestamp,Debug2,120cm ,20hz(50ms)
1.47221E+12,1221,,
1.47221E+12,1221,,
1.47221E+12,1221,,
1.47221E+12,1192,,
1.47221E+12,1192,,
1.47221E+12,1218,,
1.47221E+12,1218,,
1.47221E+12,1222,,
1.47221E+12,1222,,
1.47221E+12,1228,,
1.47221E+12,1228,,
1.47221E+12,1248,,
1.47221E+12,1248,,
1.47221E+12,1233,,
1.47221E+12,1233,,
1.47221E+12,1233,,
1.47221E+12,1233,,
1.47221E+12,1253,,
1.47221E+12,1253,,
1.47221E+12,1253,,
1.47221E+12,1234,,
1.47221E+12,1234,,
1.47221E+12,1234,,
1.47221E+12,1239,,
1.47221E+12,1239,,
1.47221E+12,1239,,
1.47221E+12,1239,,
1.47221E+12,1272,,
1.47221E+12,1272,,
1.47221E+12,1223,,
1.47221E+12,1223,,
1.47221E+12,1223,,
1.47221E+12,1223,,
1.47221E+12,1240,,
1.47221E+12,1240,,
1.47221E+12,1232,,
1.47221E+12,1232,,
1.47221E+12,1232,,
1.47221E+12,1232,,
1.47221E+12,1246,,
1.47221E+12,1246,,
1.47221E+12,1235,,
1.47221E+12,1235,,
1.47221E+12,1242,,
1.47221E+12,1242,,
1.47221E+12,1242,,
1.47221E+12,1242,,
1.47221E+12,1242,,
1.47221E+12,1242,,
1.47221E+12,1230,,
1.47221E+12,1230,,
1.47221E+12,1242,,
1.47221E+12,1242,,
1.47221E+12,1237,,
1.47221E+12,1237,,
1.47221E+12,1221,,
1.47221E+12,1221,,
1.47221E+12,1231,,
1.47221E+12,1231,,
1.47221E+12,1237,,
1.47221E+12,1237,,
1.47221E+12,1250,,
1.47221E+12,1250,,
1.47221E+12,1250,,
1.47221E+12,1233,,
1.47221E+12,1233,,
1.47221E+12,1221,,
1.47221E+12,1221,,
1.47221E+12,1205,,
1.47221E+12,1205,,
1.47221E+12,1236,,
1.47221E+12,1236,,
1.47221E+12,1236,,
1.47221E+12,1217,,
1.47221E+12,1217,,
1.47221E+12,1233,,
1.47221E+12,1233,,
1.47221E+12,1228,,
